data	al	cu	ni	zn
2010M6	1929.409	6501.500	19411.295	1746.51
2010M7	1989.045	6750.568	19548.523	1847.03
2010M8	2110.440	7302.667	21448.786	2047.48
2010M9	2171.243	7729.591	22690.136	2150.94
2010M10	2342.179	8289.762	23793.679	2373.56
2010M11	2324.045	8458.420	22836.227	2283.30
2010M12	2356.669	9152.857	24099.571	2287.32
2011M1	2439.700	9533.200	25621.225	2375.81
2011M2	2515.260	9880.938	28412.175	2473.45
2011M3	2555.500	9503.359	26710.348	2341.48
2011M4	2667.417	9482.750	26332.167	2371.48
2011M5	2587.213	8931.675	24164.550	2159.60
2011M6	2557.761	9066.852	22420.932	2234.47
2011M7	2525.429	9650.464	23847.952	2397.75
2011M8	2380.975	8997.989	21864.682	2199.24
2011M9	2293.461	8300.136	20377.591	2075.22
2011M10	2180.648	7394.190	19039.048	1871.42
2011M11	2079.982	7581.023	17873.000	1935.32
2011M12	2024.375	7558.875	18246.038	1911.15
2012M1	2151.333	8061.917	19908.619	1989.23
2012M2	2207.917	8441.488	20393.667	2057.79
2012M3	2184.159	8470.784	18660.807	2035.93
2012M4	2048.505	8285.526	17892.816	2002.68
2012M5	2002.523	7896.909	16968.318	1928.01
2012M6	1885.513	7428.289	16603.684	1855.93
2012M7	1876.250	7584.261	16128.409	1847.75
2012M8	1843.327	7510.432	15703.989	1816.32
2012M9	2064.120	8087.743	17287.963	2009.85
2012M10	1974.304	8062.033	17168.739	1903.96
2012M11	1948.830	7711.227	16335.364	1912.40
2012M12	2086.763	7966.487	17448.500	2040.43
2013M1	2037.607	8053.739	17494.068	2031.41
2013M2	2053.595	8060.925	17690.100	2128.69
2013M3	1911.283	7652.375	16731.700	1929.15
2013M4	1861.024	7221.162	15629.310	1855.60
2013M5	1832.571	7248.714	14948.226	1831.01
2013M6	1814.538	7000.238	14280.275	1839.01
2013M7	1769.609	6906.641	13750.315	1837.62
2013M8	1816.236	7186.250	14308.262	1896.39
2013M9	1761.305	7159.269	13801.393	1846.88
2013M10	1814.583	7203.022	14117.652	1884.84
2013M11	1747.964	7070.655	13684.012	1866.42
2013M12	1739.810	7214.900	13924.550	1974.98
2014M1	1727.411	7291.466	14101.250	2036.93
2014M2	1695.165	7149.213	14203.550	2034.53
2014M3	1705.367	6650.036	15678.095	2007.90
2014M4	1810.675	6673.563	17373.600	2027.21
2014M5	1751.050	6891.125	19401.075	2058.98
2014M6	1838.952	6821.143	18628.810	2128.10
2014M7	1948.304	7113.380	19117.652	2310.62
2014M8	2030.493	7001.838	18600.200	2326.99
2014M9	1990.432	6872.216	18034.795	2294.59
2014M10	1946.189	6737.478	15812.370	2276.83
2014M11	2055.555	6712.850	15807.050	2253.225
2014M12	1909.460	6446.452	15962.048	2175.761905
2015M1	1814.719	5830.536	14849.190	2113.047619
2015M2	1817.820	5729.275	14573.838	2097.7625
2015M3	1773.864	5939.670	13755.500	2028.727273
2015M4	1819.188	6042.088	12830.925	2212.725
